grb GRBNAME met trigtime ra dec err ts real LLE_sig theta zenith source_events transient_events source_events_1GeV transient_events_1GeV max_photon_energy max_photon_time photon_flux photon_flux_err energy_flux energy_flux_err LAT_T90 LLE_T90 GBM_T90 LAT_GCN z afterglow BAT_det GCNNAME RA DEC ERR SEP2CLOSEST THETA ZENITH LLE IRFS TSTART_SU TSTOP_SU TS_SU Flux_SU Flux_SU_err Index_SU Index_SU_err TSTART_BEST TSTOP_BEST TS_BEST Flux_BEST Flux_BEST_err Index_BEST Index_BEST_err TSTART_AG TSTOP_AG TS_AG Flux_AG Flux_AG_err Index_AG Index_AG_err
GRB090902462 GRB090902B 273582310.31 "2009-09-02 11:05:08.313" 264.95 27.32 0.0294 4693.3 YES 10.69 50.7 38.3 247.0 314.0 55.0 56.0 98.7 98.7 0.000822 4.41e-05 1.07e-06 1.56e-07 0.0 0.0 0.0 0.0 1.822 XOR N 141113346 183.92 77.32 0.48 3.27 51.0 86.2 3.5 P8_TRANSIENT020E 0.0 100.0 25.8 1.55e-05 6.89e-06 -2.16 0.41 0.0 100.0 25.8 1.55e-05 6.89e-06 -2.16 0.45 0.072 3.454 22.9 0.000466 0.000194 -2.18 0.45
GRB090926181 GRB090926A 275631628.99 "2009-09-26 04:20:26.987" 353.55 -66.37 0.04 4269.1 YES 19.58 48.1 80.5 253.0 295.0 29.0 29.0 24.0 24.0 0.000954 5.24e-05 6.28e-07 8.03e-08 0.0 0.0 0.0 0.0 2.1062 --- N 141102536 209.08 -46.69 0.44 2.54 52.3 53.5 1.7 P8_TRANSIENT020E 0.0 4000.0 9.1 2.55e-06 0.0 -2.62 0.56 0.0 100.0 26.3 2.87e-05 1.1e-05 -2.46 0.47 1.908 1023.34 11.7 3.66e-06 0.0 -2.46 0.47
GRB091003191 GRB091003 276237346.58 "2009-10-03 04:35:45.585" 251.53 36.61 0.0709 166.0 YES 3.02 12.2 62.2 28.0 34.0 5.0 6.0 6.7 6.7 1.1e-05 2.11e-06 1.52e-08 7.77e-09 0.0 0.0 0.0 0.0 0.8969 XO N 141028455 322.78 -0.64 0.19 1.44 32.0 48.9 19.8 P8_TRANSIENT010E 0.0 10000.0 88.9 2.27e-06 4.32e-07 -2.62 0.25 9.844 500.51 120.1 2.05e-05 3.61e-06 -2.52 0.24 9.844 500.51 120.1 2.05e-05 3.61e-06 -2.52 0.24
GRB091031500 ---------- 278683230.85 "2009-10-31 12:00:28.846" 71.7491 -57.7054 0.1725 185.1 YES 7.13 23.9 38.7 16.0 17.0 3.0 3.0 54.3 54.3 3.02e-05 8.59e-06 3.05e-08 1.8e-08 0.0 0.0 0.0 0.0 0.0 --- N 141022087 128.12 -72.66 0.33 3.16 111.1 102.2 0.0 P8_TRANSIENT010E 0.0 500.0 17.9 2.05e-05 0.0 -2.85 0.63 0.0 1000.0 18.0 2.05e-05 0.0 -2.86 0.62 188.772 325.107 17.4 3.15e-05 0.0 -2.69 0.62
GRB091120191 ---------- 280384482.23 "2009-11-20 04:34:40.230" 226.7 -21.36 0.1374 64.9 YES 2.83 48.5 26.8 35.0 45.0 2.0 2.0 565.9 565.9 2.82e-06 1.05e-06 1.35e-09 5.61e-10 0.0 0.0 0.0 0.0 0.0 --- N 141012773 289.93 -53.05 0.18 3.3 47.3 94.8 2.6 P8_TRANSIENT010E 0.0 10000.0 54.3 1.59e-05 5.57e-06 -2.27 0.29 2.649 107.033 69.7 4.59e-05 1.37e-05 -2.0 0.25 2.649 107.033 69.7 4.59e-05 1.37e-05 -2.0 0.25
GRB091127976 GRB091127 281057147.48 "2009-11-27 23:25:45.483" 36.63 -19.21 0.2582 36.5 YES 2.5 25.2 54.1 3.0 4.0 2.0 2.0 35.5 35.5 6.25e-06 3.68e-06 3.71e-08 4.06e-08 0.0 0.0 0.0 0.0 0.49 XO Y 140928437 43.76 -55.92 0.07 4.24 110.0 111.3 0.0 P8_TRANSIENT010E 0.0 10000.0 57.7 5.46e-07 2.78e-07 -1.18 0.27 1352.465 3138.739 58.0 5.75e-07 2.94e-07 -1.19 0.27 1352.465 3138.739 58.0 5.75e-07 2.94e-07 -1.19 0.27
GRB100116897 ---------- 285370262.24 "2010-01-16 21:31:00.242" 305.0 14.51 0.0453 160.9 YES 13.36 26.5 37.1 26.0 31.0 5.0 6.0 101.3 101.3 1.09e-05 2.39e-06 1.76e-08 8.37e-09 0.0 0.0 0.0 0.0 0.0 --- N 140810782 118.93 27.4 0.05 2.57 123.1 88.8 0.0 P8_TRANSIENT010E 0.0 10000.0 66.1 4.42e-07 1.65e-07 -1.64 0.23 0.0 3000.0 80.4 1.14e-06 3.8e-07 -1.66 0.2 363.916 20174.51 78.7 3.18e-07 1.11e-07 -1.55 0.2
GRB100225115 ---------- 288758733.15 "2010-02-25 02:45:31.147" 0.0 0.0 0.0 47.0 YES 7.14 55.9 82.3 8.0 9.0 2.0 2.0 13.3 13.3 3.83e-05 0.0 3.37e-08 0.0 0.0 0.0 0.0 0.0 0.0 --- N 140729026 193.91 15.43 0.19 4.79 25.6 40.0 2.4 P8_TRANSIENT020E 0.0 10000.0 46.4 3.73e-06 1.26e-06 -2.1 0.3 0.0 100.0 58.8 1.76e-05 5.28e-06 -1.81 0.29 3.678 1112.375 47.5 3.94e-06 1.31e-06 -2.03 0.29
GRB100325275 ---------- 291191770.02 "2010-03-25 06:36:08.023" 0.0 0.0 0.0 37.5 YES 4.0 7.1 52.6 4.0 4.0 0.0 0.0 0.4 0.4 0.000103 3.92e-05 6.5e-08 5.16e-08 0.0 0.0 0.0 0.0 0.0 --- N 140724533 326.66 -8.65 0.29 3.49 94.7 104.4 0.0 P8_TRANSIENT010E 0.0 10000.0 23.6 1.69e-06 6.85e-07 -2.31 0.36 0.0 3000.0 10.1 2.12e-06 0.0 -1.92 0.56 7911.662 43331.621 4.6 9.87e-07 0.0 -2.51 0.56
GRB100414097 GRB100414A 292904423.99 "2010-04-14 02:20:21.986" 192.1432 8.5587 0.0648 302.1 YES 2.84 69.2 27.8 33.0 45.0 7.0 7.0 200.5 200.5 1.83e-05 3.32e-06 2.88e-08 1.38e-08 0.0 0.0 0.0 0.0 1.368 XOR N 140723067 210.66 -3.7 0.19 4.09 54.5 38.3 4.4 P8_TRANSIENT010E 0.0 10000.0 59.9 3.61e-06 9.28e-07 -2.17 0.21 0.0 300.0 79.5 2.7e-05 5.15e-06 -2.08 0.19 0.513 1012.355 69.6 8.31e-06 1.95e-06 -2.1 0.19
